Annual - Average Equal Weighted Returns,,,,,,,,,,
Year,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1927,27.66,22.64,38.93,11.08,40.78,25.81,28.67,56.54,42.7,38.2
1928,27.66,52.53,52.34,42.46,69.58,21.54,50.18,32.58,58.22,32.73
1929,-37.64,-55.49,-32.35,-31.27,-8.45,4.26,-43.26,-17.51,18.23,-22.02
1930,-28.89,-42.67,-40.17,-47.31,-44.23,-7.38,-40.63,-17.87,-22.14,-40.57
1931,-28.4,-42.69,-50.09,-46.79,-50.87,-36.71,-40.95,-37.21,-39.02,-52.82
1932,22.45,-6.94,11.81,42.93,-7.67,-9.85,-3.37,-14.08,-5.54,10.67
1933,146.04,172.76,172.53,111.22,154.44,45,129.18,17.4,-13.94,113.42
1934,22.43,16.27,24.72,7.78,29.22,-10.38,54.72,6.06,-22.83,4.33
1935,34.91,84.36,69.03,60.71,88.69,62.78,34.99,39.72,113.55,60.15
1936,36.08,36.47,60.68,69.03,40.65,18.25,59.24,23.92,31.79,56.96
1937,-42.93,-57.53,-43.43,-41.44,-45.56,-38.76,-51.31,-36.17,-41.34,-48.99
1938,27.03,49.89,50.91,14.43,52.41,11.7,43.28,32.35,23.59,20.26
1939,18.1,-1.98,-1.36,6.52,-12.7,27.94,7.86,4.1,3.04,-0.54
1940,-10.8,4.35,-3.74,-8.48,-0.07,-4.95,-4.18,-10.67,-21.94,-15.17
1941,0.42,-21.73,-13.17,7.87,-7.69,-11.35,-8.77,10.75,-44.96,-1.55
1942,27.88,47,20.21,38.24,54.34,37.66,21.97,27.49,42.08,64.59
1943,65.07,67.01,39.25,53.19,44.69,59.62,87.26,40.07,118.59,86.46
1944,34.99,67.19,37.94,31.53,33.69,29.12,48.04,21.82,16.36,49.65
1945,63.92,66.25,56.54,48.57,38.01,38.92,83.57,60.88,87.02,68.33
1946,-5.35,-25.59,-7.03,2.93,-19.26,-32.72,-3.96,21.19,7.28,-20.86
1947,-2.08,5.41,1.54,39.69,4.72,-19.51,-8.06,-20.87,-12.95,-4.97
1948,-10.01,-10.73,-4.43,7.95,5.64,-4.61,-3.01,-6.76,8.35,2.44
1949,26.3,25.16,17.51,9.37,8.19,36.56,26.94,35.12,37.37,21.34
1950,26.25,41.02,46.82,54.03,37.01,24.7,21.29,21.72,6.58,46.9
1951,3.71,13.43,21.14,26.12,24.73,10.75,5.94,23.01,26.44,11.81
1952,4.46,11.85,6.26,9.91,19.06,12.72,6.69,-4.79,20.81,16.46
1953,-2.78,-9.36,-2.55,-6.79,-4.51,25.27,-3.65,3.79,9.18,-6.55
1954,41.3,42.59,69.43,57.4,67.57,68.53,43.12,50.82,28.05,73.84
1955,10.76,23.15,27.4,26.42,17.18,11.29,16.27,30.76,12.38,19.12
1956,1.13,-1.69,13.09,26.32,7.8,-3.25,-3.03,10.27,7.58,1.1
1957,-6.32,-18.91,-22.28,-22.86,-11.41,-13.98,-3.04,24.1,6.52,-20.47
1958,62.21,76.41,58.61,42.15,79.65,77.79,59.1,85.48,40.84,64.49
1959,17.94,36.01,17,-2.85,38.32,36,20.85,34.59,5.42,4.82
1960,9.33,-19.13,-10.62,5.68,-6.27,18.1,4.59,6.1,21.09,-3.67
1961,35.73,36.22,24.6,33.12,19.15,19.34,44.06,26.35,31.07,29.85
1962,-15.45,-3.81,-13.94,-1.08,-25.14,-11.2,-22.66,-20.34,0.09,-7.12
1963,15.35,20.6,17.07,33.47,6.26,25.62,6.02,21.08,12.82,21.54
1964,16.91,15.6,20.14,23.56,4.43,25.26,23.56,17.9,16.42,19.84
1965,26.4,56.32,40.71,28.2,71.71,39.25,29.38,38,3.33,34.27
1966,-16.11,-10.09,-4.97,6.09,1.99,-1.44,-12,-0.24,-7.3,-6.62
1967,79.19,93.46,77.99,85.37,107.92,32.42,96.5,46.23,4.61,90.41
1968,52.36,41.99,32.93,52.86,13.7,32.88,68.47,13.62,17.86,61.85
1969,-29.64,-28.7,-27.77,-26.5,-28.08,-12.92,-23.28,12.72,-14.51,-28.27
1970,-0.83,-15.01,-12.39,4.9,-34.95,-6.47,-12.41,-15.22,17.76,-13.15
1971,20.58,30.79,16.34,8,22.17,27.43,27.34,29.06,4.94,21.98
1972,-1.06,10.75,10.27,19.32,10.03,13.2,-6.9,6.09,11.39,-0.52
1973,-42.54,-50.29,-31.21,10.68,-37.39,-44.79,-48.25,-39.14,-15.62,-38.1
1974,-22.93,-26.94,-15.27,-17.76,-36.7,-23.28,-25.97,-24.23,-17.83,-28.09
1975,82.36,82.95,62.49,40.02,82.3,86.69,88.29,58.41,48.85,55.3
1976,38.59,58.87,54.03,65.46,61.24,54.11,41.3,37.75,36.61,50.69
1977,18.8,8.78,18.17,32.1,30.96,35.44,19.26,29.75,11.78,29.16
1978,23.33,19.47,25.3,6.51,49.93,35.35,22.23,35.83,-1.05,28.9
1979,22.58,17.65,41.36,149.45,57.7,54.56,27.67,39.39,18.04,40.03
1980,23.92,26.97,33.31,100.2,74.32,33.68,26.78,59.72,16.3,42.84
1981,16.32,7.8,0.1,-36.22,-9.19,21.74,10.73,5.44,12.84,3.55
1982,42.2,38.53,21.98,-41.59,42.05,32.29,48.69,52.83,27.85,29.48
1983,45.31,47.65,40.06,23.21,29.82,20.44,48.86,17.65,25.53,43.18
1984,-0.72,-10.65,-6.13,-24.9,-25.91,-9.38,-11.87,-15.85,21.82,-8.05
1985,34.85,15.64,22.72,-13.27,17.02,37.37,24.54,35.33,35.39,37.17
1986,19.07,9.45,6.14,-17.33,-3.06,7.67,8.25,3.9,29.66,11.61
1987,-10.51,-9.52,-1.29,17.9,-13.29,15.26,-20.39,-18.81,-7.22,-10.73
1988,24.51,22.59,28.15,8.3,14.79,33.56,29.97,23.32,22.37,14.94
1989,14.86,5.14,11.14,37.39,4.62,39.06,6.52,14.72,27.71,7.63
1990,-23.81,-36.65,-18.65,-3.43,-20.71,-27.92,-25.13,-1.95,-2.3,-30.52
1991,42.96,51.83,44.99,9.61,68.99,41.68,55.65,153.58,23.58,46.36
1992,17.95,38.32,23.03,17.75,32.7,18,32.75,8.76,14.28,45.1
1993,17.1,37.42,29.22,29.77,27.63,86.55,18.8,-3.2,15.52,31.52
1994,-6.75,-11.37,3.88,1.62,8.05,-9.45,-14.51,-14.39,-9.44,-4.67
1995,12.63,3.97,18.6,19,55.16,29.59,8.45,69.02,27.65,35.45
1996,8.15,27,19.37,64.05,11.35,0.66,15.19,13.74,13.95,20.3
1997,13.55,14.97,25.1,18.5,8.51,31.87,12.9,3.22,29.85,38.49
1998,-4.51,4.32,-14.25,-47.78,7.18,18.69,7.7,-12.53,10.06,-4.14
1999,-4.5,9.84,11.38,26.2,131.95,140.35,6.34,44.43,1.06,8.03
2000,-4.04,-17.03,-4.37,90.14,-39.41,-55.63,-25.8,28.89,45.25,-3.68
2001,26.71,27.96,12.54,-11.27,13.66,-12.31,49.85,46.24,-1.8,30.14
2002,5.13,-5.85,-10.5,-10.32,-29.99,-41.13,-8.03,-32.89,-13.26,2.4
2003,41.25,45.66,58.49,79.89,119.13,76.74,63.32,116.5,30.93,58.13
2004,23.76,6.43,32.6,50.88,12.1,4.48,26.65,15.69,20.45,23.43
2005,0.01,-15.25,7.27,66.18,-1.98,-16.15,8.61,-3.87,12.53,5.79
2006,20.18,20.5,25.22,7.02,12.1,19.62,18.14,11.08,22.31,17.27
2007,-9.56,-12.01,7.29,8.94,1.02,-10.92,-14.16,-5.17,11.87,-16.08
2008,-43.78,-62.6,-49.77,-54.7,-49.82,-57.53,-45.77,-40,-21.5,-40.73
2009,80.66,130.71,70.06,68,92.94,121.5,99.9,97.83,17.95,25.28
2010,28.18,33.83,38.02,38.43,35.43,32.32,31.4,22.56,12.81,21.06
2011,-8.09,-23.57,-10.94,-10.34,-14.03,-10.76,-1.25,-10.76,17.55,-10.62
2012,29.55,17.46,16.65,-11.12,9.63,16.24,19.12,26.27,6.34,25.43
2013,45.09,54.71,47.81,21.44,48.04,70.96,39.76,57.47,20.81,41.35
2014,11.54,8.12,-0.83,-39.42,2.99,-4.69,1.16,14.59,21.41,7.61
2015,-1.86,-10.01,-16.09,-46.68,-4.75,3.53,-12.83,0.18,-8.06,-2.79
2016,18.49,29,29.43,34.18,18.06,12.58,11.88,-11.27,33.08,30.6