Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
133.00,200.00,0.00,192.00,0.00,927.40,839.20,90.00,36.59
192.00,288.00,0.00,192.00,0.00,929.80,716.10,90.00,50.73
133.00,200.00,0.00,192.00,0.00,927.40,839.20,7.00,13.66
305.30,203.50,0.00,203.50,0.00,965.40,631.00,3.00,14.14
236.00,157.00,0.00,192.00,0.00,972.60,749.10,90.00,47.78
108.30,162.40,0.00,203.50,0.00,938.20,849.00,3.00,2.33
157.00,236.00,0.00,192.00,0.00,935.40,781.20,7.00,16.89
288.00,192.00,0.00,192.00,0.00,932.00,717.80,7.00,23.52
212.00,141.30,0.00,203.50,0.00,973.40,750.00,3.00,6.81
212.00,141.30,0.00,203.50,0.00,973.40,750.00,90.00,39.70
153.00,102.00,0.00,192.00,0.00,888.00,943.10,28.00,17.96
236.00,157.00,0.00,192.00,0.00,972.60,749.10,28.00,32.88
116.00,173.00,0.00,192.00,0.00,909.80,891.90,28.00,22.35
183.90,122.60,0.00,203.50,0.00,959.20,800.00,7.00,10.79
108.30,162.40,0.00,203.50,0.00,938.20,849.00,7.00,7.72
203.50,305.30,0.00,203.50,0.00,963.40,630.00,28.00,41.68
203.50,305.30,0.00,203.50,0.00,963.40,630.00,3.00,9.56
133.00,200.00,0.00,192.00,0.00,927.40,839.20,3.00,6.88
288.00,192.00,0.00,192.00,0.00,932.00,717.80,90.00,50.53
200.00,133.00,0.00,192.00,0.00,965.40,806.20,7.00,17.17
200.00,133.00,0.00,192.00,0.00,965.40,806.20,28.00,30.44
250.20,166.80,0.00,203.50,0.00,977.60,694.10,3.00,9.73
122.60,183.90,0.00,203.50,0.00,958.20,800.10,3.00,3.32
153.00,102.00,0.00,192.00,0.00,888.00,943.10,90.00,26.32
200.00,133.00,0.00,192.00,0.00,965.40,806.20,90.00,43.25
116.00,173.00,0.00,192.00,0.00,909.80,891.90,3.00,6.28
173.00,116.00,0.00,192.00,0.00,946.80,856.80,90.00,32.10
250.20,166.80,0.00,203.50,0.00,977.60,694.10,28.00,36.96
305.30,203.50,0.00,203.50,0.00,965.40,631.00,90.00,54.60
192.00,288.00,0.00,192.00,0.00,929.80,716.10,7.00,21.48
157.00,236.00,0.00,192.00,0.00,935.40,781.20,3.00,9.69
153.00,102.00,0.00,192.00,0.00,888.00,943.10,7.00,8.37
141.30,212.00,0.00,203.50,0.00,971.80,748.50,90.00,39.66
116.00,173.00,0.00,192.00,0.00,909.80,891.90,7.00,10.09
141.30,212.00,0.00,203.50,0.00,971.80,748.50,3.00,4.83
122.60,183.90,0.00,203.50,0.00,958.20,800.10,7.00,10.35
166.80,250.20,0.00,203.50,0.00,975.60,692.60,90.00,43.57
203.50,305.30,0.00,203.50,0.00,963.40,630.00,90.00,51.86
310.00,0.00,0.00,192.00,0.00,1012.00,830.00,3.00,11.85
310.00,0.00,0.00,192.00,0.00,1012.00,830.00,7.00,17.24
310.00,0.00,0.00,192.00,0.00,1012.00,830.00,28.00,27.83
310.00,0.00,0.00,192.00,0.00,1012.00,830.00,90.00,35.76
310.00,0.00,0.00,192.00,0.00,1012.00,830.00,120.00,38.70
331.00,0.00,0.00,192.00,0.00,1025.00,821.00,3.00,14.31
331.00,0.00,0.00,192.00,0.00,1025.00,821.00,7.00,17.44
331.00,0.00,0.00,192.00,0.00,1025.00,821.00,28.00,31.74
331.00,0.00,0.00,192.00,0.00,1025.00,821.00,90.00,37.91
331.00,0.00,0.00,192.00,0.00,1025.00,821.00,120.00,39.38
349.00,0.00,0.00,192.00,0.00,1056.00,809.00,3.00,15.87
349.00,0.00,0.00,192.00,0.00,1056.00,809.00,7.00,9.01
349.00,0.00,0.00,192.00,0.00,1056.00,809.00,28.00,33.61
349.00,0.00,0.00,192.00,0.00,1056.00,809.00,90.00,40.66
349.00,0.00,0.00,192.00,0.00,1056.00,809.00,120.00,40.86
238.00,0.00,0.00,186.00,0.00,1119.00,789.00,7.00,12.05
238.00,0.00,0.00,186.00,0.00,1119.00,789.00,28.00,17.54
296.00,0.00,0.00,186.00,0.00,1090.00,769.00,7.00,18.91
296.00,0.00,0.00,186.00,0.00,1090.00,769.00,28.00,25.18
297.00,0.00,0.00,186.00,0.00,1040.00,734.00,7.00,30.96
480.00,0.00,0.00,192.00,0.00,936.00,721.00,28.00,43.89
480.00,0.00,0.00,192.00,0.00,936.00,721.00,90.00,54.28
397.00,0.00,0.00,186.00,0.00,1040.00,734.00,28.00,36.94
281.00,0.00,0.00,186.00,0.00,1104.00,774.00,7.00,14.50
281.00,0.00,0.00,185.00,0.00,1104.00,774.00,28.00,22.44
500.00,0.00,0.00,200.00,0.00,1125.00,613.00,1.00,12.64
500.00,0.00,0.00,200.00,0.00,1125.00,613.00,3.00,26.06
500.00,0.00,0.00,200.00,0.00,1125.00,613.00,7.00,33.21
500.00,0.00,0.00,200.00,0.00,1125.00,613.00,14.00,36.94
500.00,0.00,0.00,200.00,0.00,1125.00,613.00,28.00,44.09
540.00,0.00,0.00,173.00,0.00,1125.00,613.00,7.00,52.61
540.00,0.00,0.00,173.00,0.00,1125.00,613.00,14.00,59.76
540.00,0.00,0.00,173.00,0.00,1125.00,613.00,28.00,67.31
540.00,0.00,0.00,173.00,0.00,1125.00,613.00,90.00,69.66
540.00,0.00,0.00,173.00,0.00,1125.00,613.00,180.00,71.62
540.00,0.00,0.00,173.00,0.00,1125.00,613.00,270.00,74.17
350.00,0.00,0.00,203.00,0.00,974.00,775.00,7.00,18.13
350.00,0.00,0.00,203.00,0.00,974.00,775.00,14.00,22.53
350.00,0.00,0.00,203.00,0.00,974.00,775.00,28.00,27.34
350.00,0.00,0.00,203.00,0.00,974.00,775.00,56.00,29.98
350.00,0.00,0.00,203.00,0.00,974.00,775.00,90.00,31.35
350.00,0.00,0.00,203.00,0.00,974.00,775.00,180.00,32.72
385.00,0.00,0.00,186.00,0.00,966.00,763.00,1.00,6.27
385.00,0.00,0.00,186.00,0.00,966.00,763.00,3.00,14.70
385.00,0.00,0.00,186.00,0.00,966.00,763.00,7.00,23.22
385.00,0.00,0.00,186.00,0.00,966.00,763.00,14.00,27.92
385.00,0.00,0.00,186.00,0.00,966.00,763.00,28.00,31.35
331.00,0.00,0.00,192.00,0.00,978.00,825.00,180.00,39.00
331.00,0.00,0.00,192.00,0.00,978.00,825.00,360.00,41.24
349.00,0.00,0.00,192.00,0.00,1047.00,806.00,3.00,14.99
331.00,0.00,0.00,192.00,0.00,978.00,825.00,3.00,13.52
382.00,0.00,0.00,186.00,0.00,1047.00,739.00,7.00,24.00
382.00,0.00,0.00,186.00,0.00,1047.00,739.00,28.00,37.42
382.00,0.00,0.00,186.00,0.00,1111.00,784.00,7.00,11.47
281.00,0.00,0.00,186.00,0.00,1104.00,774.00,28.00,22.44
339.00,0.00,0.00,185.00,0.00,1069.00,754.00,7.00,21.16
339.00,0.00,0.00,185.00,0.00,1069.00,754.00,28.00,31.84
295.00,0.00,0.00,185.00,0.00,1069.00,769.00,7.00,14.80
295.00,0.00,0.00,185.00,0.00,1069.00,769.00,28.00,25.18
238.00,0.00,0.00,185.00,0.00,1118.00,789.00,28.00,17.54
296.00,0.00,0.00,192.00,0.00,1085.00,765.00,7.00,14.20
296.00,0.00,0.00,192.00,0.00,1085.00,765.00,28.00,21.65
296.00,0.00,0.00,192.00,0.00,1085.00,765.00,90.00,29.39
331.00,0.00,0.00,192.00,0.00,879.00,825.00,3.00,13.52
331.00,0.00,0.00,192.00,0.00,978.00,825.00,7.00,16.26
331.00,0.00,0.00,192.00,0.00,978.00,825.00,28.00,31.45
331.00,0.00,0.00,192.00,0.00,978.00,825.00,90.00,37.23
349.00,0.00,0.00,192.00,0.00,1047.00,806.00,7.00,18.13
349.00,0.00,0.00,192.00,0.00,1047.00,806.00,28.00,32.72
349.00,0.00,0.00,192.00,0.00,1047.00,806.00,90.00,39.49
349.00,0.00,0.00,192.00,0.00,1047.00,806.00,180.00,41.05
349.00,0.00,0.00,192.00,0.00,1047.00,806.00,360.00,42.13
302.00,0.00,0.00,203.00,0.00,974.00,817.00,14.00,18.13
302.00,0.00,0.00,203.00,0.00,974.00,817.00,180.00,26.74
525.00,0.00,0.00,189.00,0.00,1125.00,613.00,180.00,61.92
500.00,0.00,0.00,200.00,0.00,1125.00,613.00,90.00,47.22
500.00,0.00,0.00,200.00,0.00,1125.00,613.00,180.00,51.04
500.00,0.00,0.00,200.00,0.00,1125.00,613.00,270.00,55.16
540.00,0.00,0.00,173.00,0.00,1125.00,613.00,3.00,41.64
252.00,0.00,0.00,185.00,0.00,1111.00,784.00,7.00,13.71
252.00,0.00,0.00,185.00,0.00,1111.00,784.00,28.00,19.69
339.00,0.00,0.00,185.00,0.00,1060.00,754.00,28.00,31.65
393.00,0.00,0.00,192.00,0.00,940.00,758.00,3.00,19.11
393.00,0.00,0.00,192.00,0.00,940.00,758.00,28.00,39.58
393.00,0.00,0.00,192.00,0.00,940.00,758.00,90.00,48.79
382.00,0.00,0.00,185.00,0.00,1047.00,739.00,7.00,24.00
382.00,0.00,0.00,185.00,0.00,1047.00,739.00,28.00,37.42
252.00,0.00,0.00,186.00,0.00,1111.00,784.00,7.00,11.47
252.00,0.00,0.00,185.00,0.00,1111.00,784.00,28.00,19.69
310.00,0.00,0.00,192.00,0.00,970.00,850.00,7.00,14.99
310.00,0.00,0.00,192.00,0.00,970.00,850.00,28.00,27.92
310.00,0.00,0.00,192.00,0.00,970.00,850.00,90.00,34.68
310.00,0.00,0.00,192.00,0.00,970.00,850.00,180.00,37.33
310.00,0.00,0.00,192.00,0.00,970.00,850.00,360.00,38.11
525.00,0.00,0.00,189.00,0.00,1125.00,613.00,3.00,33.80
525.00,0.00,0.00,189.00,0.00,1125.00,613.00,7.00,42.42
525.00,0.00,0.00,189.00,0.00,1125.00,613.00,14.00,48.40
525.00,0.00,0.00,189.00,0.00,1125.00,613.00,28.00,55.94
525.00,0.00,0.00,189.00,0.00,1125.00,613.00,90.00,58.78
525.00,0.00,0.00,189.00,0.00,1125.00,613.00,270.00,67.11
322.00,0.00,0.00,203.00,0.00,974.00,800.00,14.00,20.77
322.00,0.00,0.00,203.00,0.00,974.00,800.00,28.00,25.18
322.00,0.00,0.00,203.00,0.00,974.00,800.00,180.00,29.59
302.00,0.00,0.00,203.00,0.00,974.00,817.00,28.00,21.75
397.00,0.00,0.00,185.00,0.00,1040.00,734.00,28.00,39.09
480.00,0.00,0.00,192.00,0.00,936.00,721.00,3.00,24.39
522.00,0.00,0.00,146.00,0.00,896.00,896.00,7.00,50.51
522.00,0.00,0.00,146.00,0.00,896.00,896.00,28.00,74.99
273.00,105.00,82.00,210.00,9.00,904.00,680.00,28.00,37.17
162.00,190.00,148.00,179.00,19.00,838.00,741.00,28.00,33.76
154.00,144.00,112.00,220.00,10.00,923.00,658.00,28.00,16.50
147.00,115.00,89.00,202.00,9.00,860.00,829.00,28.00,19.99
152.00,178.00,139.00,168.00,18.00,944.00,695.00,28.00,36.35
310.00,143.00,111.00,168.00,22.00,914.00,651.00,28.00,33.69
144.00,0.00,175.00,158.00,18.00,943.00,844.00,28.00,15.42
304.00,140.00,0.00,214.00,6.00,895.00,722.00,28.00,33.42
374.00,0.00,0.00,190.00,7.00,1013.00,730.00,28.00,39.05
159.00,149.00,116.00,175.00,15.00,953.00,720.00,28.00,27.68
153.00,239.00,0.00,200.00,6.00,1002.00,684.00,28.00,26.86
310.00,143.00,0.00,168.00,10.00,914.00,804.00,28.00,45.30
305.00,0.00,100.00,196.00,10.00,959.00,705.00,28.00,30.12
151.00,0.00,184.00,167.00,12.00,991.00,772.00,28.00,15.57
142.00,167.00,130.00,174.00,11.00,883.00,785.00,28.00,44.61
298.00,137.00,107.00,201.00,6.00,878.00,655.00,28.00,53.52
321.00,164.00,0.00,190.00,5.00,870.00,774.00,28.00,57.21
366.00,187.00,0.00,191.00,7.00,824.00,757.00,28.00,65.91
280.00,129.00,100.00,172.00,9.00,825.00,805.00,28.00,52.82
252.00,97.00,76.00,194.00,8.00,835.00,821.00,28.00,33.40
165.00,0.00,150.00,182.00,12.00,1023.00,729.00,28.00,18.03
156.00,243.00,0.00,180.00,11.00,1022.00,698.00,28.00,37.36
160.00,188.00,146.00,203.00,11.00,829.00,710.00,28.00,32.84
298.00,0.00,107.00,186.00,6.00,879.00,815.00,28.00,42.64
318.00,0.00,126.00,210.00,6.00,861.00,737.00,28.00,40.06
287.00,121.00,94.00,188.00,9.00,904.00,696.00,28.00,41.94
326.00,166.00,0.00,174.00,9.00,882.00,790.00,28.00,61.23
356.00,0.00,142.00,193.00,11.00,801.00,778.00,28.00,40.87
132.00,207.00,161.00,179.00,5.00,867.00,736.00,28.00,33.30
322.00,149.00,0.00,186.00,8.00,951.00,709.00,28.00,52.42
164.00,0.00,200.00,181.00,13.00,849.00,846.00,28.00,15.09
314.00,0.00,113.00,170.00,10.00,925.00,783.00,28.00,38.46
321.00,0.00,128.00,182.00,11.00,870.00,780.00,28.00,37.26
140.00,164.00,128.00,237.00,6.00,869.00,656.00,28.00,35.23
288.00,121.00,0.00,177.00,7.00,908.00,829.00,28.00,42.13
298.00,0.00,107.00,210.00,11.00,880.00,744.00,28.00,31.87
265.00,111.00,86.00,195.00,6.00,833.00,790.00,28.00,41.54
160.00,250.00,0.00,168.00,12.00,1049.00,688.00,28.00,39.45
166.00,260.00,0.00,183.00,13.00,859.00,827.00,28.00,37.91
276.00,116.00,90.00,180.00,9.00,870.00,768.00,28.00,44.28
322.00,0.00,116.00,196.00,10.00,818.00,813.00,28.00,31.18
149.00,139.00,109.00,193.00,6.00,892.00,780.00,28.00,23.69
159.00,187.00,0.00,176.00,11.00,990.00,789.00,28.00,32.76
261.00,100.00,78.00,201.00,9.00,864.00,761.00,28.00,32.40
237.00,92.00,71.00,247.00,6.00,853.00,695.00,28.00,28.63
313.00,0.00,113.00,178.00,8.00,1002.00,689.00,28.00,36.80
155.00,183.00,0.00,193.00,9.00,1047.00,697.00,28.00,18.28
146.00,230.00,0.00,202.00,3.00,827.00,872.00,28.00,33.06
296.00,0.00,107.00,221.00,11.00,819.00,778.00,28.00,31.42
133.00,210.00,0.00,196.00,3.00,949.00,795.00,28.00,31.03
313.00,145.00,0.00,178.00,8.00,867.00,824.00,28.00,44.39
152.00,0.00,112.00,184.00,8.00,992.00,816.00,28.00,12.18
153.00,145.00,113.00,178.00,8.00,1002.00,689.00,28.00,25.56
140.00,133.00,103.00,200.00,7.00,916.00,753.00,28.00,36.44
149.00,236.00,0.00,176.00,13.00,847.00,893.00,28.00,32.96
300.00,0.00,120.00,212.00,10.00,878.00,728.00,28.00,23.84
153.00,145.00,113.00,178.00,8.00,867.00,824.00,28.00,26.23
148.00,0.00,137.00,158.00,16.00,1002.00,830.00,28.00,17.95
326.00,0.00,138.00,199.00,11.00,801.00,792.00,28.00,40.68
153.00,145.00,0.00,178.00,8.00,1000.00,822.00,28.00,19.01
262.00,111.00,86.00,195.00,5.00,895.00,733.00,28.00,33.72
158.00,0.00,195.00,220.00,11.00,898.00,713.00,28.00,8.54
151.00,0.00,185.00,167.00,16.00,1074.00,678.00,28.00,13.46
273.00,0.00,90.00,199.00,11.00,931.00,762.00,28.00,32.24
149.00,118.00,92.00,183.00,7.00,953.00,780.00,28.00,23.52
143.00,169.00,143.00,191.00,8.00,967.00,643.00,28.00,29.72
260.00,101.00,78.00,171.00,10.00,936.00,763.00,28.00,49.77
313.00,161.00,0.00,178.00,10.00,917.00,759.00,28.00,52.44
284.00,120.00,0.00,168.00,7.00,970.00,794.00,28.00,40.93
336.00,0.00,0.00,182.00,3.00,986.00,817.00,28.00,44.86
145.00,0.00,134.00,181.00,11.00,979.00,812.00,28.00,13.20
150.00,237.00,0.00,174.00,12.00,1069.00,675.00,28.00,37.43
144.00,170.00,133.00,192.00,8.00,814.00,805.00,28.00,29.87
331.00,170.00,0.00,195.00,8.00,811.00,802.00,28.00,56.61
155.00,0.00,143.00,193.00,9.00,1047.00,697.00,28.00,12.46
155.00,183.00,0.00,193.00,9.00,877.00,868.00,28.00,23.79
135.00,0.00,166.00,180.00,10.00,961.00,805.00,28.00,13.29
266.00,112.00,87.00,178.00,10.00,910.00,745.00,28.00,39.42
314.00,145.00,113.00,179.00,8.00,869.00,690.00,28.00,46.23
313.00,145.00,0.00,127.00,8.00,1000.00,822.00,28.00,44.52
146.00,173.00,0.00,182.00,3.00,986.00,817.00,28.00,23.74
144.00,136.00,106.00,178.00,7.00,941.00,774.00,28.00,26.14
148.00,0.00,182.00,181.00,15.00,839.00,884.00,28.00,15.52
277.00,117.00,91.00,191.00,7.00,946.00,666.00,28.00,43.57
298.00,0.00,107.00,164.00,13.00,953.00,784.00,28.00,35.86
313.00,145.00,0.00,178.00,8.00,1002.00,689.00,28.00,41.05
155.00,184.00,143.00,194.00,9.00,880.00,699.00,28.00,28.99
289.00,134.00,0.00,195.00,6.00,924.00,760.00,28.00,46.24
148.00,175.00,0.00,171.00,2.00,1000.00,828.00,28.00,26.92
145.00,0.00,179.00,202.00,8.00,824.00,869.00,28.00,10.54
313.00,0.00,0.00,178.00,8.00,1000.00,822.00,28.00,25.10
136.00,162.00,126.00,172.00,10.00,923.00,764.00,28.00,29.07
155.00,0.00,143.00,193.00,9.00,877.00,868.00,28.00,9.74
255.00,99.00,77.00,189.00,6.00,919.00,749.00,28.00,33.80
162.00,207.00,172.00,216.00,10.00,822.00,638.00,28.00,39.84
136.00,196.00,98.00,199.00,6.00,847.00,783.00,28.00,26.97
164.00,163.00,128.00,197.00,8.00,961.00,641.00,28.00,27.23
162.00,214.00,164.00,202.00,10.00,820.00,680.00,28.00,30.65
157.00,214.00,152.00,200.00,9.00,819.00,704.00,28.00,33.05
149.00,153.00,194.00,192.00,8.00,935.00,623.00,28.00,24.58
135.00,105.00,193.00,196.00,6.00,965.00,643.00,28.00,21.91
159.00,209.00,161.00,201.00,7.00,848.00,669.00,28.00,30.88
144.00,15.00,195.00,176.00,6.00,1021.00,709.00,28.00,15.34
154.00,174.00,185.00,228.00,7.00,845.00,612.00,28.00,24.34
167.00,187.00,195.00,185.00,7.00,898.00,636.00,28.00,23.89
184.00,86.00,190.00,213.00,6.00,923.00,623.00,28.00,22.93
156.00,178.00,187.00,221.00,7.00,854.00,614.00,28.00,29.41
236.90,91.70,71.50,246.90,6.00,852.90,695.40,28.00,28.63
313.30,0.00,113.00,178.50,8.00,1001.90,688.70,28.00,36.80
154.80,183.40,0.00,193.30,9.10,1047.40,696.70,28.00,18.29
145.90,230.50,0.00,202.50,3.40,827.00,871.80,28.00,32.72
296.00,0.00,106.70,221.40,10.50,819.20,778.40,28.00,31.42
133.10,210.20,0.00,195.70,3.10,949.40,795.30,28.00,28.94
313.30,145.00,0.00,178.50,8.00,867.20,824.00,28.00,40.93
151.60,0.00,111.90,184.40,7.90,992.00,815.90,28.00,12.18
153.10,145.00,113.00,178.50,8.00,1001.90,688.70,28.00,25.56
139.90,132.60,103.30,200.30,7.40,916.00,753.40,28.00,36.44
149.50,236.00,0.00,175.80,12.60,846.80,892.70,28.00,32.96
299.80,0.00,119.80,211.50,9.90,878.20,727.60,28.00,23.84
153.10,145.00,113.00,178.50,8.00,867.20,824.00,28.00,26.23
148.10,0.00,136.60,158.10,16.10,1001.80,830.10,28.00,17.96
326.50,0.00,137.90,199.00,10.80,801.10,792.50,28.00,38.63
152.70,144.70,0.00,178.10,8.00,999.70,822.20,28.00,19.01
261.90,110.50,86.10,195.40,5.00,895.20,732.60,28.00,33.72
158.40,0.00,194.90,219.70,11.00,897.70,712.90,28.00,8.54
150.70,0.00,185.30,166.70,15.60,1074.50,678.00,28.00,13.46
272.60,0.00,89.60,198.70,10.60,931.30,762.20,28.00,32.25
149.00,117.60,91.70,182.90,7.10,953.40,780.30,28.00,23.52
143.00,169.40,142.70,190.70,8.40,967.40,643.50,28.00,29.73
259.90,100.60,78.40,170.60,10.40,935.70,762.90,28.00,49.77
312.90,160.50,0.00,177.60,9.60,916.60,759.50,28.00,52.45
284.00,119.70,0.00,168.30,7.20,970.40,794.20,28.00,40.93
336.50,0.00,0.00,181.90,3.40,985.80,816.80,28.00,44.87
144.80,0.00,133.60,180.80,11.10,979.50,811.50,28.00,13.20
150.00,236.80,0.00,173.80,11.90,1069.30,674.80,28.00,37.43
143.70,170.20,132.60,191.60,8.50,814.10,805.30,28.00,29.87
330.50,169.60,0.00,194.90,8.10,811.00,802.30,28.00,56.62
154.80,0.00,142.80,193.30,9.10,1047.40,696.70,28.00,12.46
154.80,183.40,0.00,193.30,9.10,877.20,867.70,28.00,23.79
134.70,0.00,165.70,180.20,10.00,961.00,804.90,28.00,13.29
266.20,112.30,87.50,177.90,10.40,909.70,744.50,28.00,39.42
314.00,145.30,113.20,178.90,8.00,869.10,690.20,28.00,46.23
312.70,144.70,0.00,127.30,8.00,999.70,822.20,28.00,44.52
145.70,172.60,0.00,181.90,3.40,985.80,816.80,28.00,23.74
143.80,136.30,106.20,178.10,7.50,941.50,774.30,28.00,26.15
148.10,0.00,182.10,181.40,15.00,838.90,884.30,28.00,15.53
277.00,116.80,91.00,190.60,7.00,946.50,665.60,28.00,43.58
298.10,0.00,107.50,163.60,12.80,953.20,784.00,28.00,35.87
313.30,145.00,0.00,178.50,8.00,1001.90,688.70,28.00,41.05
155.20,183.90,143.20,193.80,9.20,879.60,698.50,28.00,28.99
289.00,133.70,0.00,194.90,5.50,924.10,760.10,28.00,46.25
147.80,175.10,0.00,171.20,2.20,1000.00,828.50,28.00,26.92
145.40,0.00,178.90,201.70,7.80,824.00,868.70,28.00,10.54
312.70,0.00,0.00,178.10,8.00,999.70,822.20,28.00,25.10
136.40,161.60,125.80,171.60,10.40,922.60,764.40,28.00,29.07
154.80,0.00,142.80,193.30,9.10,877.20,867.70,28.00,9.74
255.30,98.80,77.00,188.60,6.50,919.00,749.30,28.00,33.80
272.80,105.10,81.80,209.70,9.00,904.00,679.70,28.00,37.17
162.00,190.10,148.10,178.80,18.80,838.10,741.40,28.00,33.76
153.60,144.20,112.30,220.10,10.10,923.20,657.90,28.00,16.50
146.50,114.60,89.30,201.90,8.80,860.00,829.50,28.00,19.99
151.80,178.10,138.70,167.50,18.30,944.00,694.60,28.00,36.35
309.90,142.80,111.20,167.80,22.10,913.90,651.20,28.00,38.22
143.60,0.00,174.90,158.40,17.90,942.70,844.50,28.00,15.42
303.60,139.90,0.00,213.50,6.20,895.50,722.50,28.00,33.42
374.30,0.00,0.00,190.20,6.70,1013.20,730.40,28.00,39.06
158.60,148.90,116.00,175.10,15.00,953.30,719.70,28.00,27.68
152.60,238.70,0.00,200.00,6.30,1001.80,683.90,28.00,26.86
310.00,142.80,0.00,167.90,10.00,914.30,804.00,28.00,45.30
304.80,0.00,99.60,196.00,9.80,959.40,705.20,28.00,30.12
150.90,0.00,183.90,166.60,11.60,991.20,772.20,28.00,15.57
141.90,166.60,129.70,173.50,10.90,882.60,785.30,28.00,44.61
297.80,137.20,106.90,201.30,6.00,878.40,655.30,28.00,53.52
321.30,164.20,0.00,190.50,4.60,870.00,774.00,28.00,57.22
366.00,187.00,0.00,191.30,6.60,824.30,756.90,28.00,65.91
279.80,128.90,100.40,172.40,9.50,825.10,804.90,28.00,52.83
252.10,97.10,75.60,193.80,8.30,835.50,821.40,28.00,33.40
164.60,0.00,150.40,181.60,11.70,1023.30,728.90,28.00,18.03
155.60,243.50,0.00,180.30,10.70,1022.00,697.70,28.00,37.36
160.20,188.00,146.40,203.20,11.30,828.70,709.70,28.00,35.31
298.10,0.00,107.00,186.40,6.10,879.00,815.20,28.00,42.64
317.90,0.00,126.50,209.70,5.70,860.50,736.60,28.00,40.06
287.30,120.50,93.90,187.60,9.20,904.40,695.90,28.00,43.80
325.60,166.40,0.00,174.00,8.90,881.60,790.00,28.00,61.24
355.90,0.00,141.60,193.30,11.00,801.40,778.40,28.00,40.87
132.00,206.50,160.90,178.90,5.50,866.90,735.60,28.00,33.31
322.50,148.60,0.00,185.80,8.50,951.00,709.50,28.00,52.43
164.20,0.00,200.10,181.20,12.60,849.30,846.00,28.00,15.09
313.80,0.00,112.60,169.90,10.10,925.30,782.90,28.00,38.46
321.40,0.00,127.90,182.50,11.50,870.10,779.70,28.00,37.27
139.70,163.90,127.70,236.70,5.80,868.60,655.60,28.00,35.23
288.40,121.00,0.00,177.40,7.00,907.90,829.50,28.00,42.14
298.20,0.00,107.00,209.70,11.10,879.60,744.20,28.00,31.88
264.50,111.00,86.50,195.50,5.90,832.60,790.40,28.00,41.54
159.80,250.00,0.00,168.40,12.20,1049.30,688.20,28.00,39.46
166.00,259.70,0.00,183.20,12.70,858.80,826.80,28.00,37.92
276.40,116.00,90.30,179.60,8.90,870.10,768.30,28.00,44.28
322.20,0.00,115.60,196.00,10.40,817.90,813.40,28.00,31.18
148.50,139.40,108.60,192.70,6.10,892.40,780.00,28.00,23.70
159.10,186.70,0.00,175.60,11.30,989.60,788.90,28.00,32.77
260.90,100.50,78.30,200.60,8.60,864.50,761.50,28.00,32.40